txn_id,amount,currency,customer_id,timestamp,status
TXN-1000,2194.14,INR,CUST-843,2026-09-01T00:00:00,success
TXN-1001,92.56,INR,CUST-601,2026-09-01T00:00:00,success
TXN-1002,1160.65,INR,CUST-433,2026-09-01T00:00:00,success
TXN-1003,2447.5,INR,CUST-387,2026-09-01T00:00:00,success
TXN-1004,3941.65,INR,CUST-452,2026-09-01T00:00:00,success
TXN-1005,4479.52,INR,CUST-324,2026-09-01T00:00:00,success
TXN-1006,1554.96,INR,CUST-717,2026-09-01T00:00:00,success
TXN-1007,2945.01,INR,CUST-518,2026-09-01T00:00:00,success
TXN-1008,3093.02,INR,CUST-347,2026-09-01T00:00:00,success
TXN-1009,2525.69,INR,CUST-355,2026-09-01T00:00:00,success
TXN-1010,113.19,INR,CUST-877,2026-09-01T00:00:00,success
TXN-1011,2426.25,INR,CUST-510,2026-09-01T00:00:00,success
TXN-1012,3981.54,INR,CUST-328,2026-09-01T00:00:00,success
TXN-1013,3188.63,INR,CUST-422,2026-09-01T00:00:00,success
TXN-1014,2567.99,INR,CUST-708,2026-09-01T00:00:00,success
TXN-1015,1835.02,INR,CUST-201,2026-09-01T00:00:00,success
TXN-1016,670.93,INR,CUST-847,2026-09-01T00:00:00,success
TXN-1017,3664.23,INR,CUST-455,2026-09-01T00:00:00,success
TXN-1018,1708.08,INR,CUST-511,2026-09-01T00:00:00,success
TXN-1019,4844.34,INR,CUST-852,2026-09-01T00:00:00,success
TXN-1020,3052.28,INR,CUST-477,2026-09-01T00:00:00,success
TXN-1021,3369.29,INR,CUST-540,2026-09-01T00:00:00,success
TXN-1022,887.43,INR,CUST-781,2026-09-01T00:00:00,success
TXN-1023,4529.08,INR,CUST-688,2026-09-01T00:00:00,success
TXN-1024,4475.84,INR,CUST-594,2026-09-01T00:00:00,success
TXN-1025,4957.26,INR,CUST-234,2026-09-01T00:00:00,success
TXN-1026,1486.59,INR,CUST-118,2026-09-01T00:00:00,success
TXN-1027,602.49,INR,CUST-806,2026-09-01T00:00:00,success
TXN-1028,2594.99,INR,CUST-285,2026-09-01T00:00:00,success
TXN-1029,1116.4,INR,CUST-798,2026-09-01T00:00:00,success
TXN-1030,3209.06,INR,CUST-602,2026-09-01T00:00:00,success
TXN-1031,879.7,INR,CUST-781,2026-09-01T00:00:00,success
TXN-1032,445.58,INR,CUST-135,2026-09-01T00:00:00,success
TXN-1033,1097.48,INR,CUST-646,2026-09-01T00:00:00,success
TXN-1034,524.07,INR,CUST-593,2026-09-01T00:00:00,success
TXN-1035,1452.47,INR,CUST-955,2026-09-01T00:00:00,success
TXN-1036,626.7,INR,CUST-518,2026-09-01T00:00:00,success
TXN-1037,888.73,INR,CUST-367,2026-09-01T00:00:00,success
TXN-1038,4157.42,INR,CUST-417,2026-09-01T00:00:00,success
TXN-1039,1639.52,INR,CUST-377,2026-09-01T00:00:00,success
TXN-1040,1282.25,INR,CUST-142,2026-09-01T00:00:00,success
TXN-1041,1002.7,INR,CUST-523,2026-09-01T00:00:00,success
TXN-1042,4715.43,INR,CUST-337,2026-09-01T00:00:00,success
TXN-1043,4522.99,INR,CUST-916,2026-09-01T00:00:00,success
TXN-1044,3425.05,INR,CUST-224,2026-09-01T00:00:00,success
TXN-1045,2882.02,INR,CUST-869,2026-09-01T00:00:00,success
TXN-1046,3302.74,INR,CUST-350,2026-09-01T00:00:00,success
TXN-1047,2634.12,INR,CUST-933,2026-09-01T00:00:00,success
TXN-1048,2342.02,INR,CUST-306,2026-09-01T00:00:00,success
TXN-1049,1871.83,INR,CUST-351,2026-09-01T00:00:00,success
